CodigoNacional;Fecha;TxPM;FechaHora
330020;31-12-2019;33.9;2019-12-31 10:00
330020;30-12-2019;34.8;2019-12-30 16:07
330020;29-12-2019;35.1;2019-12-29 16:19
330020;28-12-2019;34.7;2019-12-28 17:01
330020;27-12-2019;33.1;2019-12-27 16:09
330020;26-12-2019;31.6;2019-12-26 16:00
330020;25-12-2019;30.7;2019-12-25 17:00
330020;24-12-2019;30.5;2019-12-24 15:45
330020;23-12-2019;36.7;2019-12-23 16:21
330020;22-12-2019;34.9;2019-12-22 16:59
330020;21-12-2019;32.7;2019-12-21 15:50
330020;20-12-2019;31.1;2019-12-20 17:09
330020;19-12-2019;27.8;2019-12-19 14:26
330020;18-12-2019;33.0;2019-12-18 16:51
330020;17-12-2019;33.2;2019-12-17 16:30
330020;16-12-2019;31.0;2019-12-16 17:07
330020;15-12-2019;29.4;2019-12-15 16:07
330020;14-12-2019;24.4;2019-12-14 19:33
330020;13-12-2019;32.4;2019-12-13 15:33
330020;12-12-2019;34.5;2019-12-12 17:45
330020;11-12-2019;29.8;2019-12-11 15:58
330020;10-12-2019;29.1;2019-12-10 14:54
330020;09-12-2019;29.6;2019-12-09 16:53
330020;08-12-2019;30.2;2019-12-08 15:52
330020;07-12-2019;27.6;2019-12-07 16:04
330020;06-12-2019;29.6;2019-12-06 15:30
330020;05-12-2019;33.6;2019-12-05 15:44
330020;04-12-2019;30.5;2019-12-04 15:33
330020;03-12-2019;30.2;2019-12-03 16:23
330020;02-12-2019;29.7;2019-12-02 15:07
330020;01-12-2019;30.2;2019-12-01 13:08
330020;30-11-2019;33.2;2019-11-30 16:54
330020;29-11-2019;28.9;2019-11-29 16:12
330020;28-11-2019;31.1;2019-11-28 16:03
330020;27-11-2019;31.2;2019-11-27 16:53
330020;26-11-2019;26.0;2019-11-26 16:25
330020;25-11-2019;21.9;2019-11-25 17:44
330020;24-11-2019;22.8;2019-11-24 16:47
330020;23-11-2019;25.1;2019-11-23 15:31
330020;22-11-2019;29.7;2019-11-22 15:19
330020;21-11-2019;29.1;2019-11-21 16:39
330020;20-11-2019;34.7;2019-11-20 15:52
330020;19-11-2019;33.4;2019-11-19 14:46
330020;18-11-2019;34.7;2019-11-18 16:17
330020;17-11-2019;30.4;2019-11-17 17:18
330020;16-11-2019;32.9;2019-11-16 14:29
330020;15-11-2019;33.7;2019-11-15 17:37
330020;14-11-2019;32.3;2019-11-14 17:05
330020;13-11-2019;30.5;2019-11-13 15:57
330020;12-11-2019;29.0;2019-11-12 14:55
330020;11-11-2019;26.7;2019-11-11 15:15
330020;10-11-2019;33.1;2019-11-10 14:53
330020;09-11-2019;34.9;2019-11-09 16:11
330020;08-11-2019;28.2;2019-11-08 12:18
330020;07-11-2019;33.7;2019-11-07 15:46
330020;06-11-2019;31.3;2019-11-06 16:31
330020;05-11-2019;29.4;2019-11-05 17:14
330020;04-11-2019;22.3;2019-11-04 18:12
330020;03-11-2019;26.1;2019-11-03 14:32
330020;02-11-2019;29.5;2019-11-02 17:29
330020;01-11-2019;23.2;2019-11-01 16:38
330020;31-10-2019;25.2;2019-10-31 15:30
330020;30-10-2019;27.6;2019-10-30 16:48
330020;29-10-2019;22.6;2019-10-29 16:17
330020;28-10-2019;21.9;2019-10-28 15:02
330020;27-10-2019;19.1;2019-10-27 16:30
330020;26-10-2019;24.8;2019-10-26 17:36
330020;25-10-2019;29.3;2019-10-25 15:11
330020;24-10-2019;25.1;2019-10-24 14:53
330020;23-10-2019;27.6;2019-10-23 14:42
330020;22-10-2019;29.4;2019-10-22 15:48
330020;21-10-2019;27.7;2019-10-21 16:38
330020;20-10-2019;22.5;2019-10-20 17:02
330020;19-10-2019;19.0;2019-10-19 14:00
330020;18-10-2019;25.5;2019-10-18 15:52
330020;17-10-2019;21.8;2019-10-17 16:48
330020;16-10-2019;18.3;2019-10-16 14:05
330020;15-10-2019;24.1;2019-10-15 15:44
330020;14-10-2019;18.0;2019-10-14 17:09
330020;13-10-2019;25.3;2019-10-13 15:04
330020;12-10-2019;18.8;2019-10-12 13:57
330020;11-10-2019;23.7;2019-10-11 14:56
330020;10-10-2019;28.0;2019-10-10 15:16
330020;09-10-2019;32.3;2019-10-09 14:40
330020;08-10-2019;33.1;2019-10-08 16:32
330020;07-10-2019;27.8;2019-10-07 16:49
330020;06-10-2019;26.3;2019-10-06 16:37
330020;05-10-2019;22.6;2019-10-05 16:29
330020;04-10-2019;20.6;2019-10-04 17:38
330020;03-10-2019;17.8;2019-10-03 16:33
330020;02-10-2019;17.3;2019-10-02 16:17
330020;01-10-2019;13.3;2019-10-01 16:28
330020;30-09-2019;15.2;2019-09-30 15:35
330020;29-09-2019;21.6;2019-09-29 15:00
330020;28-09-2019;26.7;2019-09-28 16:40
330020;27-09-2019;21.2;2019-09-27 17:58
330020;26-09-2019;22.6;2019-09-26 14:52
330020;25-09-2019;28.8;2019-09-25 15:29
330020;24-09-2019;25.0;2019-09-24 16:27
330020;23-09-2019;22.1;2019-09-23 16:15
330020;22-09-2019;27.3;2019-09-22 15:33
330020;21-09-2019;26.9;2019-09-21 16:55
330020;20-09-2019;21.3;2019-09-20 17:05
330020;19-09-2019;17.7;2019-09-19 15:39
330020;18-09-2019;21.0;2019-09-18 16:33
330020;17-09-2019;18.0;2019-09-17 16:44
