CodigoNacional;Fecha;TnAM;FechaHora
330020;31-12-2021;12.5;2021-12-31 06:21
330020;30-12-2021;12.9;2021-12-30 04:15
330020;29-12-2021;13.2;2021-12-29 05:52
330020;28-12-2021;15.1;2021-12-28 06:47
330020;27-12-2021;15.1;2021-12-27 06:58
330020;26-12-2021;14.8;2021-12-26 06:23
330020;25-12-2021;14.6;2021-12-25 06:28
330020;24-12-2021;13.2;2021-12-24 05:58
330020;23-12-2021;12.0;2021-12-23 06:36
330020;22-12-2021;13.1;2021-12-22 06:03
330020;21-12-2021;13.3;2021-12-21 06:34
330020;20-12-2021;13.4;2021-12-20 06:31
330020;19-12-2021;13.1;2021-12-19 06:30
330020;18-12-2021;11.5;2021-12-18 06:43
330020;17-12-2021;9.5;2021-12-17 06:46
330020;16-12-2021;11.6;2021-12-16 05:39
330020;15-12-2021;10.9;2021-12-15 07:01
330020;14-12-2021;8.8;2021-12-14 06:36
330020;13-12-2021;8.8;2021-12-13 06:55
330020;12-12-2021;12.5;2021-12-12 07:55
330020;11-12-2021;13.0;2021-12-11 06:04
330020;10-12-2021;12.3;2021-12-10 05:45
330020;09-12-2021;12.1;2021-12-09 06:26
330020;08-12-2021;9.9;2021-12-08 06:25
330020;07-12-2021;11.5;2021-12-07 08:16
330020;06-12-2021;12.9;2021-12-06 06:36
330020;05-12-2021;12.1;2021-12-05 06:43
330020;04-12-2021;9.9;2021-12-04 06:47
330020;03-12-2021;10.0;2021-12-03 06:41
330020;02-12-2021;9.2;2021-12-02 06:53
330020;01-12-2021;8.8;2021-12-01 06:47
330020;30-11-2021;8.4;2021-11-30 06:07
330020;29-11-2021;10.7;2021-11-29 06:13
330020;28-11-2021;8.7;2021-11-28 06:44
330020;27-11-2021;11.2;2021-11-27 04:24
330020;26-11-2021;12.5;2021-11-26 06:06
330020;25-11-2021;9.5;2021-11-25 06:35
330020;24-11-2021;11.8;2021-11-24 03:58
330020;23-11-2021;12.5;2021-11-23 07:07
330020;22-11-2021;12.5;2021-11-22 06:35
330020;21-11-2021;11.5;2021-11-21 06:37
330020;20-11-2021;10.1;2021-11-20 06:43
330020;19-11-2021;10.9;2021-11-19 06:42
330020;18-11-2021;10.0;2021-11-18 06:40
330020;17-11-2021;8.8;2021-11-17 06:36
330020;16-11-2021;9.3;2021-11-16 04:53
330020;15-11-2021;10.5;2021-11-15 06:20
330020;14-11-2021;8.1;2021-11-14 06:53
330020;13-11-2021;11.0;2021-11-13 07:49
330020;12-11-2021;9.5;2021-11-12 06:41
330020;11-11-2021;9.7;2021-11-11 06:53
330020;10-11-2021;9.1;2021-11-10 06:49
330020;09-11-2021;11.0;2021-11-09 06:54
330020;08-11-2021;9.3;2021-11-08 06:23
330020;07-11-2021;6.9;2021-11-07 06:55
330020;06-11-2021;6.4;2021-11-06 06:49
330020;05-11-2021;6.9;2021-11-05 06:38
330020;04-11-2021;10.9;2021-11-04 07:22
330020;03-11-2021;9.0;2021-11-03 06:48
330020;02-11-2021;9.3;2021-11-02 06:13
330020;01-11-2021;8.9;2021-11-01 06:58
330020;31-10-2021;12.7;2021-10-31 05:15
330020;30-10-2021;11.9;2021-10-30 06:34
330020;29-10-2021;11.9;2021-10-29 06:36
330020;28-10-2021;10.1;2021-10-28 06:58
330020;27-10-2021;10.2;2021-10-27 06:31
330020;26-10-2021;12.1;2021-10-26 06:54
330020;25-10-2021;9.3;2021-10-25 06:28
330020;24-10-2021;6.9;2021-10-24 06:04
330020;23-10-2021;5.8;2021-10-23 05:37
330020;22-10-2021;10.6;2021-10-22 07:00
330020;21-10-2021;6.8;2021-10-21 04:45
330020;20-10-2021;9.6;2021-10-20 02:26
330020;19-10-2021;8.6;2021-10-19 07:02
330020;18-10-2021;6.7;2021-10-18 07:04
330020;17-10-2021;5.9;2021-10-17 07:23
330020;16-10-2021;3.8;2021-10-16 07:14
330020;15-10-2021;3.1;2021-10-15 07:04
330020;14-10-2021;8.8;2021-10-14 08:46
330020;13-10-2021;9.4;2021-10-13 01:29
330020;12-10-2021;9.9;2021-10-12 08:41
330020;11-10-2021;7.4;2021-10-11 07:07
330020;10-10-2021;9.6;2021-10-10 07:15
330020;09-10-2021;4.9;2021-10-09 07:17
330020;08-10-2021;8.7;2021-10-08 03:59
330020;07-10-2021;6.8;2021-10-07 07:22
330020;06-10-2021;5.4;2021-10-06 07:26
330020;05-10-2021;5.7;2021-10-05 06:49
330020;04-10-2021;4.9;2021-10-04 06:18
330020;03-10-2021;3.3;2021-10-03 07:07
330020;02-10-2021;6.2;2021-10-02 08:09
330020;01-10-2021;5.2;2021-10-01 07:05
330020;30-09-2021;3.3;2021-09-30 07:44
330020;29-09-2021;5.9;2021-09-29 06:25
330020;28-09-2021;7.1;2021-09-28 07:11
330020;27-09-2021;6.4;2021-09-27 07:35
330020;26-09-2021;5.5;2021-09-26 07:01
330020;25-09-2021;9.2;2021-09-25 02:17
330020;24-09-2021;6.2;2021-09-24 07:16
330020;23-09-2021;4.8;2021-09-23 07:36
330020;22-09-2021;9.3;2021-09-22 07:05
330020;21-09-2021;5.0;2021-09-21 06:59
330020;20-09-2021;5.9;2021-09-20 07:49
330020;19-09-2021;5.6;2021-09-19 05:02
330020;18-09-2021;5.9;2021-09-18 07:53
330020;17-09-2021;5.6;2021-09-17 07:53
330020;16-09-2021;3.6;2021-09-16 07:55
330020;15-09-2021;2.1;2021-09-15 07:48
330020;14-09-2021;0.1;2021-09-14 07:34
330020;13-09-2021;7.1;2021-09-13 07:42
330020;12-09-2021;7.8;2021-09-12 07:45
330020;11-09-2021;8.3;2021-09-11 04:59
330020;10-09-2021;4.8;2021-09-10 07:56
330020;09-09-2021;2.2;2021-09-09 06:46
330020;08-09-2021;0.9;2021-09-08 06:30
330020;07-09-2021;5.5;2021-09-07 06:38
330020;06-09-2021;7.3;2021-09-06 07:03
330020;05-09-2021;3.6;2021-09-05 07:54
330020;04-09-2021;5.4;2021-09-04 06:27
330020;03-09-2021;8.7;2021-09-03 07:44
330020;02-09-2021;5.2;2021-09-02 07:04
330020;01-09-2021;4.0;2021-09-01 05:20
330020;31-08-2021;7.0;2021-08-30 23:23
330020;30-08-2021;8.2;2021-08-30 04:42
330020;29-08-2021;5.5;2021-08-29 06:32
330020;28-08-2021;8.8;2021-08-28 00:51
330020;27-08-2021;5.2;2021-08-27 03:28
330020;26-08-2021;2.1;2021-08-26 06:52
330020;25-08-2021;7.0;2021-08-25 07:34
330020;24-08-2021;1.9;2021-08-24 06:54
330020;23-08-2021;6.7;2021-08-23 06:53
330020;22-08-2021;8.4;2021-08-22 07:28
330020;21-08-2021;6.0;2021-08-21 04:30
330020;20-08-2021;4.4;2021-08-20 06:25
330020;19-08-2021;8.2;2021-08-19 05:52
330020;18-08-2021;11.0;2021-08-18 06:57
330020;17-08-2021;7.9;2021-08-17 00:17
330020;16-08-2021;6.9;2021-08-16 05:18
330020;15-08-2021;5.8;2021-08-15 05:10
330020;14-08-2021;-0.3;2021-08-14 07:31
330020;13-08-2021;1.3;2021-08-13 00:35
330020;12-08-2021;1.4;2021-08-12 04:11
330020;11-08-2021;0.8;2021-08-11 07:29
330020;10-08-2021;0.8;2021-08-10 06:46
330020;09-08-2021;1.7;2021-08-09 04:57
330020;08-08-2021;8.1;2021-08-08 07:28
330020;07-08-2021;6.9;2021-08-06 23:18
330020;06-08-2021;3.4;2021-08-06 05:26
330020;05-08-2021;4.8;2021-08-05 00:40
330020;04-08-2021;2.5;2021-08-04 07:43
330020;03-08-2021;2.1;2021-08-03 07:42
330020;02-08-2021;2.2;2021-08-02 07:37
330020;01-08-2021;1.9;2021-08-01 07:37
330020;31-07-2021;0.3;2021-07-31 07:25
330020;30-07-2021;0.0;2021-07-30 07:39
330020;29-07-2021;0.1;2021-07-29 07:20
330020;28-07-2021;-0.8;2021-07-28 07:30
330020;27-07-2021;0.0;2021-07-27 07:08
330020;26-07-2021;4.7;2021-07-26 07:15
330020;25-07-2021;3.7;2021-07-24 22:39
330020;24-07-2021;6.2;2021-07-23 21:29
330020;23-07-2021;2.9;2021-07-23 06:44
330020;22-07-2021;2.5;2021-07-22 07:30
330020;21-07-2021;3.5;2021-07-21 07:45
330020;20-07-2021;0.9;2021-07-20 06:22
330020;19-07-2021;-0.4;2021-07-19 07:28
330020;18-07-2021;-1.2;2021-07-18 07:16
330020;17-07-2021;-1.7;2021-07-17 07:45
330020;16-07-2021;0.6;2021-07-16 01:58
330020;15-07-2021;-1.0;2021-07-15 07:31
330020;14-07-2021;-0.9;2021-07-14 06:48
330020;13-07-2021;-0.8;2021-07-13 04:57
330020;12-07-2021;2.6;2021-07-12 03:23
330020;11-07-2021;1.8;2021-07-11 05:12
330020;10-07-2021;0.8;2021-07-10 07:01
330020;09-07-2021;2.1;2021-07-09 05:24
330020;08-07-2021;0.8;2021-07-08 06:42
330020;07-07-2021;0.8;2021-07-07 07:21
330020;06-07-2021;5.1;2021-07-06 03:05
330020;05-07-2021;0.8;2021-07-05 07:40
330020;04-07-2021;0.3;2021-07-04 06:57
330020;03-07-2021;1.7;2021-07-03 06:57
330020;02-07-2021;1.1;2021-07-02 07:58
330020;01-07-2021;2.6;2021-07-01 04:01
330020;30-06-2021;3.6;2021-06-30 07:44
330020;29-06-2021;-1.0;2021-06-29 07:36
